last_update,station,city,state,country,latitude,longitude,pollutant_id,min_value,max_value,avg_value
05-09-2026,"Ballygunge, Kolkata - WBPCB",Kolkata,West Bengal,India,22.5367507,88.3638022,NO2,19.0,76.0,34.0
05-09-2026,"Ballygunge, Kolkata - WBPCB",Kolkata,West Bengal,India,22.5367507,88.3638022,OZONE,15.0,17.0,16.0
05-09-2026,"Ballygunge, Kolkata - WBPCB",Kolkata,West Bengal,India,22.5367507,88.3638022,PM10,41.0,80.0,58.0
05-09-2026,"Ballygunge, Kolkata - WBPCB",Kolkata,West Bengal,India,22.5367507,88.3638022,PM2.5,22.0,65.0,43.0
05-09-2026,"Ballygunge, Kolkata - WBPCB",Kolkata,West Bengal,India,22.5367507,88.3638022,SO2,2.0,7.0,5.0
05-09-2026,"Bamboliya, Baran - RSPCB",Baran,Rajasthan,India,25.106006,76.469948,CO,35.0,38.0,36.0
05-09-2026,"Bamboliya, Baran - RSPCB",Baran,Rajasthan,India,25.106006,76.469948,NH3,6.0,7.0,6.0
05-09-2026,"Bamboliya, Baran - RSPCB",Baran,Rajasthan,India,25.106006,76.469948,NO2,26.0,37.0,30.0
05-09-2026,"Bamboliya, Baran - RSPCB",Baran,Rajasthan,India,25.106006,76.469948,OZONE,3.0,49.0,22.0
05-09-2026,"Bamboliya, Baran - RSPCB",Baran,Rajasthan,India,25.106006,76.469948,PM10,14.0,44.0,33.0
05-09-2026,"Bamboliya, Baran - RSPCB",Baran,Rajasthan,India,25.106006,76.469948,PM2.5,3.0,12.0,9.0
05-09-2026,"Bamboliya, Baran - RSPCB",Baran,Rajasthan,India,25.106006,76.469948,SO2,4.0,8.0,6.0
05-09-2026,"Bandhavgar Colony, Satna - Birla Cement",Satna,Madhya Pradesh,India,24.58434363,80.8549414,CO,13.0,16.0,14.0
05-09-2026,"Bandhavgar Colony, Satna - Birla Cement",Satna,Madhya Pradesh,India,24.58434363,80.8549414,NH3,,,
05-09-2026,"Bandhavgar Colony, Satna - Birla Cement",Satna,Madhya Pradesh,India,24.58434363,80.8549414,NO2,12.0,13.0,13.0
05-09-2026,"Bandhavgar Colony, Satna - Birla Cement",Satna,Madhya Pradesh,India,24.58434363,80.8549414,OZONE,54.0,60.0,59.0
05-09-2026,"Bandhavgar Colony, Satna - Birla Cement",Satna,Madhya Pradesh,India,24.58434363,80.8549414,PM10,69.0,71.0,70.0
05-09-2026,"Bandhavgar Colony, Satna - Birla Cement",Satna,Madhya Pradesh,India,24.58434363,80.8549414,PM2.5,48.0,51.0,50.0
05-09-2026,"Bandhavgar Colony, Satna - Birla Cement",Satna,Madhya Pradesh,India,24.58434363,80.8549414,SO2,,,
05-09-2026,"Bandra Kurla Complex, Mumbai - IITM",Mumbai,Maharashtra,India,19.053536,72.84643,CO,23.0,42.0,32.0
05-09-2026,"Bandra Kurla Complex, Mumbai - IITM",Mumbai,Maharashtra,India,19.053536,72.84643,NH3,4.0,18.0,8.0
05-09-2026,"Bandra Kurla Complex, Mumbai - IITM",Mumbai,Maharashtra,India,19.053536,72.84643,NO2,7.0,23.0,12.0
05-09-2026,"Bandra Kurla Complex, Mumbai - IITM",Mumbai,Maharashtra,India,19.053536,72.84643,OZONE,14.0,19.0,18.0
05-09-2026,"Bandra Kurla Complex, Mumbai - IITM",Mumbai,Maharashtra,India,19.053536,72.84643,PM10,39.0,83.0,57.0
05-09-2026,"Bandra Kurla Complex, Mumbai - IITM",Mumbai,Maharashtra,India,19.053536,72.84643,PM2.5,3.0,30.0,14.0
05-09-2026,"Bandra Kurla Complex, Mumbai - IITM",Mumbai,Maharashtra,India,19.053536,72.84643,SO2,3.0,5.0,4.0
05-09-2026,"Bandra Kurla Complex, Mumbai - MPCB",Mumbai,Maharashtra,India,19.065931,72.862131,CO,19.0,24.0,23.0
05-09-2026,"Bandra Kurla Complex, Mumbai - MPCB",Mumbai,Maharashtra,India,19.065931,72.862131,NH3,0.0,0.0,0.0
05-09-2026,"Bandra Kurla Complex, Mumbai - MPCB",Mumbai,Maharashtra,India,19.065931,72.862131,NO2,0.0,0.0,0.0
05-09-2026,"Bandra Kurla Complex, Mumbai - MPCB",Mumbai,Maharashtra,India,19.065931,72.862131,OZONE,10.0,16.0,13.0
05-09-2026,"Bandra Kurla Complex, Mumbai - MPCB",Mumbai,Maharashtra,India,19.065931,72.862131,PM10,28.0,47.0,37.0
05-09-2026,"Bandra Kurla Complex, Mumbai - MPCB",Mumbai,Maharashtra,India,19.065931,72.862131,PM2.5,6.0,33.0,19.0
05-09-2026,"Bandra Kurla Complex, Mumbai - MPCB",Mumbai,Maharashtra,India,19.065931,72.862131,SO2,2.0,3.0,3.0
05-09-2026,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,India,12.951913,77.539784,CO,31.0,50.0,40.0
05-09-2026,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,India,12.951913,77.539784,NH3,2.0,3.0,3.0
05-09-2026,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,India,12.951913,77.539784,NO2,21.0,33.0,23.0
05-09-2026,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,India,12.951913,77.539784,OZONE,17.0,29.0,24.0
05-09-2026,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,India,12.951913,77.539784,PM10,25.0,113.0,47.0
05-09-2026,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,India,12.951913,77.539784,PM2.5,10.0,73.0,25.0
05-09-2026,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,India,12.951913,77.539784,SO2,16.0,41.0,26.0
