country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,collection_time
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",05-09-2026 21:00:00,22.08815,82.13737,NH3,,,,2026-09-05 16:37:06
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",05-09-2026 21:00:00,22.348441,82.549611,PM10,25.0,59.0,38.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",05-09-2026 21:00:00,28.570173,76.933762,NH3,7.0,8.0,7.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",05-09-2026 21:00:00,28.570173,76.933762,OZONE,11.0,13.0,12.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",05-09-2026 21:00:00,28.699793,77.165453,SO2,24.0,27.0,26.0,2026-09-05 16:37:06
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",05-09-2026 21:00:00,28.594004,76.909423,NH3,0.0,4.0,1.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Mundka, Delhi - DPCC",05-09-2026 21:00:00,28.684678,77.076574,PM10,14.0,44.0,31.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Mundka, Delhi - DPCC",05-09-2026 21:00:00,28.684678,77.076574,NH3,5.0,10.0,7.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Mundka, Delhi - DPCC",05-09-2026 21:00:00,28.684678,77.076574,SO2,6.0,15.0,11.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",05-09-2026 21:00:00,28.674045,77.131023,PM10,10.0,89.0,55.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",05-09-2026 21:00:00,28.674045,77.131023,CO,42.0,75.0,58.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",05-09-2026 21:00:00,28.6514781,77.1473105,SO2,3.0,20.0,13.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",05-09-2026 21:00:00,28.6514781,77.1473105,OZONE,8.0,12.0,11.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",05-09-2026 21:00:00,28.5504249,77.2159377,NH3,6.0,9.0,7.0,2026-09-05 16:37:06
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",05-09-2026 21:00:00,16.5150833,80.5181667,PM2.5,20.0,47.0,31.0,2026-09-05 16:37:06
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",05-09-2026 21:00:00,16.5150833,80.5181667,NO2,12.0,53.0,26.0,2026-09-05 16:37:06
India,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",05-09-2026 21:00:00,14.675886,77.593027,PM10,55.0,89.0,69.0,2026-09-05 16:37:06
India,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",05-09-2026 21:00:00,14.675886,77.593027,NH3,3.0,5.0,3.0,2026-09-05 16:37:06
India,Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",05-09-2026 21:00:00,13.20488,79.097889,NH3,8.0,8.0,8.0,2026-09-05 16:37:06
India,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",05-09-2026 21:00:00,16.316553,80.413302,SO2,8.0,19.0,12.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",05-09-2026 21:00:00,28.656756,77.227234,NH3,4.0,6.0,5.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Pusa, Delhi - IITM",05-09-2026 21:00:00,28.63611,77.173332,PM2.5,,,,2026-09-05 16:37:06
India,Delhi,Delhi,"Pusa, Delhi - IITM",05-09-2026 21:00:00,28.63611,77.173332,NH3,,,,2026-09-05 16:37:06
India,Delhi,Delhi,"Pusa, Delhi - IITM",05-09-2026 21:00:00,28.63611,77.173332,OZONE,35.0,53.0,43.0,2026-09-05 16:37:06
India,Delhi,Delhi,"DTU, Delhi - CPCB",05-09-2026 21:00:00,28.7500499,77.1112615,CO,8.0,13.0,10.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",05-09-2026 21:00:00,28.5710274,77.0719006,PM2.5,8.0,52.0,24.0,2026-09-05 16:37:06
